title,year,cast,director,rating,total_rating_count,genres
The Elephant Man,1980,"Dave Cooper, Ian Selby, Marcus Powell, Kathleen Byron, Patricia Hodge",David Lynch,4.27 out of 5,"294,308","History, Drama"
Secrets & Lies,1996,"Clare Perkins, Hannah Davis, Margery Withers, Phyllis Logan, Keylee Jade Flanders",Mike Leigh,4.27 out of 5,"49,648",Drama
Dersu Uzala,1975,"Daniil Netrebin, B. Khorulev, Serafim Zaytsev, Mikhail Bychkov, Vladimir Prikhodko",Akira Kurosawa,4.27 out of 5,"31,599","Drama, Adventure, Action"
Samurai Rebellion,1967,"Isao Yamagata, Jun Hamamura, Yoshirō Aoki, Hideo Fukuhara, Toshirō Mifune",Masaki Kobayashi,4.27 out of 5,"18,000","Drama, Action, History"
Modern Times,1936,"Murdock MacQuarrie, Charlie Chaplin, Russ Powell, Hank Mann, Henry Bergman",Charlie Chaplin,4.27 out of 5,"213,153","Comedy, Drama, Romance"
Look Back,2024,"Yoichiro Saito, Minori Takanami, Kota Oka, Daisuke Takahashi, Takeshi Miyajima",Kiyotaka Oshiyama,4.27 out of 5,"251,057","Drama, Animation"
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,"Chantal Akerman, Delphine Seyrig, Henri Storck, Jacques Doniol-Valcroze, Jan Decorte",Chantal Akerman,4.26 out of 5,"74,632",Drama
Ace in the Hole,1951,"Kirk Douglas, Frances Dominguez, Lester Dorr, Robert Arthur, Edith Evanson",Billy Wilder,4.26 out of 5,"49,323",Drama
The Night of the Hunter,1955,"Michael Chapin, Evelyn Varden, Don Beddoe, James Gleason, Alexander Campbell",Charles Laughton,4.26 out of 5,"171,031","Drama, Crime, Thriller"
Network,1976,"Faye Dunaway, Carolyn Krigbaum, Peter Finch, Darryl Hickman, Beatrice Straight",Sidney Lumet,4.26 out of 5,"165,350",Drama
"Life, and Nothing More…",1992,"Mohamed Hocine Rouhi, Bahrovz Aydini, Mohammad Reza Parvaneh, Mahrem Feydi, Leila Nourouzi",Abbas Kiarostami,4.26 out of 5,"30,137",Drama
Double Indemnity,1944,"Fred MacMurray, Oscar Smith, Douglas Spencer, Byron Barr, Sam McDaniel",Billy Wilder,4.26 out of 5,"170,159","Crime, Thriller"
Who's Afraid of Virginia Woolf?,1966,"Frank Flanagan, George Segal, Richard Burton, Elizabeth Taylor, Agnes Flanagan",Mike Nichols,4.26 out of 5,"73,620",Drama
The Iron Giant,1999,"Robert Clotworthy, Paul Eiding, Charles Howerton, Ryan O'Donohue, Vin Diesel",Brad Bird,4.26 out of 5,"501,704","Science Fiction, Animation, Family, Adventure"
Alien,1979,"Tom Skerritt, Yaphet Kotto, Veronica Cartwright, Helen Horton, Ian Holm",Ridley Scott,4.26 out of 5,"1,387,555","Horror, Science Fiction"
Ugetsu,1953,"Eitarō Ozawa, Hachiro Okuni, Sô Funagami, Masayoshi Kikuno, Eiji Ishikura",Kenji Mizoguchi,4.26 out of 5,"50,844","Fantasy, Drama, Mystery"
Some Like It Hot,1959,"Tiger Joe Marsh, Marian Collier, Jack Perry, Colleen O'Sullivan, Tito Vuolo",Billy Wilder,4.26 out of 5,"269,127","Romance, Crime, Comedy"
Cure,1997,"Shôgo Suzuki, Masahiro Toda, Yukijiro Hotaru, Koji Yakusho, Ren Osugi",Kiyoshi Kurosawa,4.26 out of 5,"202,919","Crime, Mystery, Thriller, Horror"
Mulholland Drive,2001,"Missy Crider, Christian Thompson, Bonnie Aarons, Geno Silva, Michael Fairman",David Lynch,4.26 out of 5,"829,900","Mystery, Drama, Thriller"
Twin Peaks: Fire Walk with Me,1992,"Karin Robison, John Hoobler, David Brisbin, C.H. Evans, Gary Hershberger",David Lynch,4.26 out of 5,"289,541","Mystery, Drama, Horror"
Rififi,1955,"Robert Hossein, Marie Sabouret, Fernand Sardou, Claude Sylvain, Daniel Mendaille",Jules Dassin,4.26 out of 5,"37,940","Crime, Drama, Thriller"
Pulp Fiction,1994,"Frank Whaley, Peter Greene, Angela Jones, Emil Sitka, Sy Sher",Quentin Tarantino,4.26 out of 5,"2,980,048","Crime, Thriller"
Metropolis,1927,"Gustav Fröhlich, Erwin Biswanger, Helen von Münchofen, Fritz Rasp, Rudolf Klein-Rogge",Fritz Lang,4.25 out of 5,"203,395","Drama, Science Fiction"
Mary and Max,2009,"Philip Seymour Hoffman, Eric Bana, Toni Collette, Patrick McCabe, Bill Murphy",Adam Elliot,4.25 out of 5,"141,933","Animation, Comedy, Drama"
The Prestige,2006,"Sean Howse, Rock Anthony, Daniel Davis, Johnny Liska, J. Paul Moore",Christopher Nolan,4.25 out of 5,"1,231,193","Science Fiction, Drama, Mystery"
The Third Man,1949,"Theodore Gottlieb, Geoffrey Keen, Trevor Howard, Alexis Chesnakov, Annie Rosar",Carol Reed,4.25 out of 5,"153,092","Mystery, Thriller"
The Tale of The Princess Kaguya,2013,"Yuji Miyake, Ryudo Uzaki, Kengo Kora, Nobuko Miyamoto, Aki Asakura",Isao Takahata,4.25 out of 5,"214,831","Fantasy, Animation, Drama"
A Matter of Life and Death,1946,"Laurence Payne, Raymond Massey, Edwin Max, Wendy Thompson, Wally Patch","Emeric Pressburger, Michael Powell",4.25 out of 5,"45,570","Comedy, War, Romance, Drama, Fantasy"
